X,Y
14.86390746,7.393845174
14.87934554,7.369823061
14.89627611,7.346828456
14.914631,7.32495395
14.9343363,7.304287623
14.95531267,7.284912692
14.97747564,7.266907172
15.00073597,7.250343565
15.025,7.235288568
15.05017002,7.221802802
15.07614469,7.209940568
15.10281942,7.199749632
15.13008678,7.191271029
15.157837,7.184538899
15.18595832,7.179580351
15.21433752,7.176415351
15.24286032,7.175056643
15.27141186,7.175509697
15.29987719,7.177772691
15.32814168,7.181836511
15.35609152,7.187684794
15.38361417,7.195293991
15.4105988,7.204633463
15.43693676,7.215665602
15.46252198,7.228345986
15.48725146,7.242623557
15.51102561,7.258440822
15.5337487,7.275734091
15.55532924,7.294433731
15.57568032,7.314464445
15.59472,7.335745576
15.61237162,7.358191432
15.62856409,7.381711632
15.64323222,7.406211469
15.65631694,7.43159229
15.66776557,7.457751895
15.677532,7.484584949
15.68557692,7.511983406
15.69186791,7.53983694
15.69637967,7.568033396
15.699094,7.596459236
